signal_date,date,code,side,shares,price,notional,cost,status,portfolio
2026-01-12,2026-01-13,000002,buy,2.3383325972274417e-05,853.60311291841,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,000070,buy,0.0005949693074129757,33.548083223165,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,000547,buy,6.768430034840316e-05,294.8996995991,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,000564,buy,0.001343705407902329,14.85450584848,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,000603,buy,0.0002457463794782105,81.222274292302,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,000733,buy,0.00019109539416296427,104.45086825744,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002025,buy,5.495615269867261e-05,363.2000942599,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002027,buy,0.00019316868317530454,103.32979193219,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002028,buy,7.943369973112015e-06,2512.7974534591,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002149,buy,0.0001197963026470067,166.61682705796,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002195,buy,5.2528525676994416e-05,379.9855332521,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002241,buy,2.7120271836100506e-05,735.98376745435,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002249,buy,0.00012744172009909085,156.62123694501,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002300,buy,0.0002502012035115683,79.776114423832,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002472,buy,8.193869658649659e-05,243.59772210007,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002475,buy,1.0392649030363777e-05,1920.5959695168,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002703,buy,0.0003049504471569278,65.453518846778,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002709,buy,3.128212220309567e-05,638.06667945131,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,002714,buy,2.0323984589541108e-05,982.09481277559,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,300037,buy,5.511409827902394e-05,362.15923808221,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,300131,buy,6.815862441775025e-05,292.84745710216,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,300255,buy,4.467121582574326e-05,446.82195170557,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,300456,buy,6.170110916200865e-05,323.49628898745,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,300474,buy,8.237380476511699e-05,242.31101012311,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,300593,buy,0.00013593172849787893,146.83900558677,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,301183,buy,0.00012389420194053546,161.10584295058,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,301205,buy,6.630057857067455e-05,301.05438399821,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,301232,buy,6.784940208257591e-05,294.18210371297,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,301377,buy,0.00012807050646220931,155.85227537309,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,301611,buy,0.0001745671717284871,114.34039769725,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,600016,buy,0.00018351707877588923,108.76415412374,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,600179,buy,0.0021186891063602453,9.4209574120147,0.01996007984031935,3.9920159680638704e-05,filled,strategy
