date,ticker,side,shares,price,value,cost
2026-07-13,000792,buy,81.3339,24.59,2000.0,4.0
2026-07-13,001389,buy,11.8273,169.1,2000.0,4.0
2026-07-13,002028,buy,12.5392,159.5,2000.0,4.0
2026-07-13,002240,buy,62.1311,32.19,2000.0,4.0
2026-07-13,002371,buy,2.6168,764.3,2000.0,4.0
2026-07-13,002460,buy,39.116,51.13,2000.0,4.0
2026-07-13,002466,buy,43.85,45.61,2000.0,4.0
2026-07-13,002484,buy,25.5265,78.35,2000.0,4.0
2026-07-13,002709,buy,53.7779,37.19,2000.0,4.0
2026-07-13,002812,buy,38.0011,52.63,2000.0,4.0
2026-07-13,003031,buy,15.2207,131.4,2000.0,4.0
2026-07-13,300037,buy,29.6692,67.41,2000.0,4.0
2026-07-13,300274,buy,18.5185,108.0,2000.0,4.0
2026-07-13,300285,buy,31.2451,64.01,2000.0,4.0
2026-07-13,300308,buy,1.8051,1108.0,2000.0,4.0
2026-07-13,300373,buy,17.6507,113.31,2000.0,4.0
2026-07-13,300390,buy,31.2207,64.06,2000.0,4.0
2026-07-13,300408,buy,17.8891,111.8,2000.0,4.0
2026-07-13,300433,buy,50.5945,39.53,2000.0,4.0
2026-07-13,300476,buy,7.3257,273.01,2000.0,4.0
2026-07-13,300489,buy,8.6957,230.0,2000.0,4.0
2026-07-13,300672,buy,9.6642,206.95,2000.0,4.0
2026-07-13,300750,buy,5.5701,359.06,2000.0,4.0
2026-07-13,300806,buy,25.8131,77.48,2000.0,4.0
2026-07-13,300857,buy,7.6095,262.83,2000.0,4.0
2026-07-13,301205,buy,8.364,239.12,2000.0,4.0
2026-07-13,301358,buy,32.4992,61.54,2000.0,4.0
2026-07-13,301396,buy,8.511,234.99,2000.0,4.0
2026-07-13,600089,buy,104.4932,19.14,2000.0,4.0
2026-07-13,600105,buy,44.5038,44.94,2000.0,4.0
2026-07-13,600487,buy,28.5673,70.01,2000.0,4.0
2026-07-13,601208,buy,40.4122,49.49,2000.0,4.0
2026-07-13,601869,buy,5.2374,381.87,2000.0,4.0
2026-07-13,603083,buy,10.7921,185.32,2000.0,4.0
2026-07-13,603306,buy,23.9435,83.53,2000.0,4.0
2026-07-13,603629,buy,18.4928,108.15,2000.0,4.0
2026-07-13,603986,buy,3.6311,550.8,2000.0,4.0
2026-07-13,605111,buy,29.7221,67.29,2000.0,4.0
2026-07-13,605117,buy,23.7586,84.18,2000.0,4.0
2026-07-13,605376,buy,10.8702,183.99,2000.0,4.0
2026-07-13,688146,buy,8.18,244.5,2000.0,4.0
2026-07-13,688167,buy,7.5629,264.45,2000.0,4.0
2026-07-13,688233,buy,12.9609,154.31,2000.0,4.0
2026-07-13,688249,buy,39.1466,51.09,2000.0,4.0
2026-07-13,688301,buy,20.6676,96.77,2000.0,4.0
2026-07-13,688372,buy,12.0098,166.53,2000.0,4.0
2026-07-13,688396,buy,25.7732,77.6,2000.0,4.0
2026-07-13,688411,buy,9.5923,208.5,2000.0,4.0
2026-07-13,688521,buy,7.3654,271.54,2000.0,4.0
2026-07-13,688548,buy,45.1773,44.27,2000.0,4.0
