date,ticker,side,shares,price,value,cost
2026-07-13,000001,buy,18.9753,10.54,200.0,0.4
2026-07-13,000021,buy,3.8373,52.12,200.0,0.4
2026-07-13,000032,buy,9.8184,20.37,200.0,0.4
2026-07-13,000034,buy,7.2464,27.6,200.0,0.4
2026-07-13,000060,buy,32.7332,6.11,200.0,0.4
2026-07-13,000062,buy,7.0522,28.36,200.0,0.4
2026-07-13,000063,buy,4.995,40.04,200.0,0.4
2026-07-13,000066,buy,11.0803,18.05,200.0,0.4
2026-07-13,000100,buy,41.58,4.81,200.0,0.4
2026-07-13,000333,buy,2.4876,80.4,200.0,0.4
2026-07-13,000338,buy,7.5188,26.6,200.0,0.4
2026-07-13,000408,buy,2.9696,67.35,200.0,0.4
2026-07-13,000425,buy,24.6305,8.12,200.0,0.4
2026-07-13,000426,buy,6.5681,30.45,200.0,0.4
2026-07-13,000539,buy,34.0136,5.88,200.0,0.4
2026-07-13,000547,buy,12.2324,16.35,200.0,0.4
2026-07-13,000559,buy,17.8571,11.2,200.0,0.4
2026-07-13,000568,buy,2.6059,76.75,200.0,0.4
2026-07-13,000617,buy,30.6279,6.53,200.0,0.4
2026-07-13,000630,buy,34.1297,5.86,200.0,0.4
2026-07-13,000636,buy,3.703,54.01,200.0,0.4
2026-07-13,000651,buy,5.1666,38.71,200.0,0.4
2026-07-13,000657,buy,2.8835,69.36,200.0,0.4
2026-07-13,000688,buy,6.7454,29.65,200.0,0.4
2026-07-13,000703,buy,15.1286,13.22,200.0,0.4
2026-07-13,000725,buy,29.2826,6.83,200.0,0.4
2026-07-13,000733,buy,4.6468,43.04,200.0,0.4
2026-07-13,000776,buy,9.4162,21.24,200.0,0.4
2026-07-13,000783,buy,22.779,8.78,200.0,0.4
2026-07-13,000792,buy,8.1334,24.59,200.0,0.4
2026-07-13,000807,buy,8.673,23.06,200.0,0.4
2026-07-13,000811,buy,4.1563,48.12,200.0,0.4
2026-07-13,000831,buy,4.4464,44.98,200.0,0.4
2026-07-13,000858,buy,2.7465,72.82,200.0,0.4
2026-07-13,000878,buy,13.8122,14.48,200.0,0.4
2026-07-13,000887,buy,10.0756,19.85,200.0,0.4
2026-07-13,000933,buy,8.6468,23.13,200.0,0.4
2026-07-13,000938,buy,5.2083,38.4,200.0,0.4
2026-07-13,000960,buy,5.8514,34.18,200.0,0.4
2026-07-13,000962,buy,3.4037,58.76,200.0,0.4
2026-07-13,000967,buy,24.3013,8.23,200.0,0.4
2026-07-13,000973,buy,17.1233,11.68,200.0,0.4
2026-07-13,000975,buy,10.2459,19.52,200.0,0.4
2026-07-13,000977,buy,2.3395,85.49,200.0,0.4
2026-07-13,000981,buy,78.125,2.56,200.0,0.4
2026-07-13,000988,buy,1.2967,154.24,200.0,0.4
2026-07-13,001203,buy,7.1403,28.01,200.0,0.4
2026-07-13,001248,buy,15.3139,13.06,200.0,0.4
2026-07-13,001267,buy,4.845,41.28,200.0,0.4
2026-07-13,001270,buy,1.3363,149.67,200.0,0.4
2026-07-13,001309,buy,0.2778,719.98,200.0,0.4
2026-07-13,001339,buy,2.2444,89.11,200.0,0.4
2026-07-13,001389,buy,1.1827,169.1,200.0,0.4
2026-07-13,001399,buy,6.0006,33.33,200.0,0.4
2026-07-13,002001,buy,7.1098,28.13,200.0,0.4
2026-07-13,002008,buy,1.7055,117.27,200.0,0.4
2026-07-13,002025,buy,2.6316,76.0,200.0,0.4
2026-07-13,002028,buy,1.2539,159.5,200.0,0.4
2026-07-13,002046,buy,3.5411,56.48,200.0,0.4
2026-07-13,002049,buy,2.4468,81.74,200.0,0.4
2026-07-13,002050,buy,4.8077,41.6,200.0,0.4
2026-07-13,002056,buy,8.3056,24.08,200.0,0.4
2026-07-13,002074,buy,8.1169,24.64,200.0,0.4
2026-07-13,002080,buy,3.0012,66.64,200.0,0.4
2026-07-13,002126,buy,3.9604,50.5,200.0,0.4
2026-07-13,002129,buy,19.0658,10.49,200.0,0.4
2026-07-13,002131,buy,47.2813,4.23,200.0,0.4
2026-07-13,002138,buy,4.0875,48.93,200.0,0.4
2026-07-13,002142,buy,6.1996,32.26,200.0,0.4
2026-07-13,002155,buy,9.009,22.2,200.0,0.4
2026-07-13,002156,buy,2.7185,73.57,200.0,0.4
2026-07-13,002179,buy,5.677,35.23,200.0,0.4
2026-07-13,002185,buy,8.2884,24.13,200.0,0.4
2026-07-13,002195,buy,33.67,5.94,200.0,0.4
2026-07-13,002202,buy,9.8668,20.27,200.0,0.4
2026-07-13,002203,buy,10.8578,18.42,200.0,0.4
2026-07-13,002222,buy,2.8133,71.09,200.0,0.4
2026-07-13,002230,buy,4.7733,41.9,200.0,0.4
2026-07-13,002240,buy,6.2131,32.19,200.0,0.4
2026-07-13,002241,buy,9.1659,21.82,200.0,0.4
2026-07-13,002245,buy,10.5319,18.99,200.0,0.4
2026-07-13,002261,buy,6.0606,33.0,200.0,0.4
2026-07-13,002273,buy,6.7431,29.66,200.0,0.4
2026-07-13,002281,buy,0.9259,216.0,200.0,0.4
2026-07-13,002294,buy,5.7013,35.08,200.0,0.4
2026-07-13,002335,buy,5.9577,33.57,200.0,0.4
2026-07-13,002340,buy,31.3972,6.37,200.0,0.4
2026-07-13,002353,buy,1.441,138.79,200.0,0.4
2026-07-13,002364,buy,3.864,51.76,200.0,0.4
2026-07-13,002371,buy,0.2617,764.3,200.0,0.4
2026-07-13,002378,buy,7.5188,26.6,200.0,0.4
2026-07-13,002384,buy,0.845,236.7,200.0,0.4
2026-07-13,002407,buy,5.4069,36.99,200.0,0.4
2026-07-13,002409,buy,1.0581,189.02,200.0,0.4
2026-07-13,002414,buy,14.2959,13.99,200.0,0.4
2026-07-13,002415,buy,6.0259,33.19,200.0,0.4
2026-07-13,002422,buy,4.4643,44.8,200.0,0.4
2026-07-13,002428,buy,2.2166,90.23,200.0,0.4
2026-07-13,002429,buy,20.9644,9.54,200.0,0.4
2026-07-13,002432,buy,3.6127,55.36,200.0,0.4
2026-07-13,002436,buy,5.1948,38.5,200.0,0.4
2026-07-13,002456,buy,22.7531,8.79,200.0,0.4
2026-07-13,002460,buy,3.9116,51.13,200.0,0.4
2026-07-13,002463,buy,1.6044,124.66,200.0,0.4
2026-07-13,002465,buy,16.3666,12.22,200.0,0.4
2026-07-13,002466,buy,4.385,45.61,200.0,0.4
2026-07-13,002472,buy,4.7461,42.14,200.0,0.4
2026-07-13,002475,buy,3.391,58.98,200.0,0.4
2026-07-13,002484,buy,2.5526,78.35,200.0,0.4
2026-07-13,002487,buy,4.7114,42.45,200.0,0.4
2026-07-13,002491,buy,10.0654,19.87,200.0,0.4
2026-07-13,002517,buy,12.4844,16.02,200.0,0.4
2026-07-13,002532,buy,17.9533,11.14,200.0,0.4
2026-07-13,002536,buy,4.0692,49.15,200.0,0.4
2026-07-13,002558,buy,7.0225,28.48,200.0,0.4
2026-07-13,002594,buy,2.2994,86.98,200.0,0.4
2026-07-13,002600,buy,14.6628,13.64,200.0,0.4
2026-07-13,002602,buy,14.2857,14.0,200.0,0.4
2026-07-13,002625,buy,7.1225,28.08,200.0,0.4
2026-07-13,002636,buy,2.2994,86.98,200.0,0.4
2026-07-13,002648,buy,9.0621,22.07,200.0,0.4
2026-07-13,002709,buy,5.3778,37.19,200.0,0.4
2026-07-13,002714,buy,5.1881,38.55,200.0,0.4
2026-07-13,002738,buy,3.9216,51.0,200.0,0.4
2026-07-13,002747,buy,5.1948,38.5,200.0,0.4
2026-07-13,002756,buy,4.3393,46.09,200.0,0.4
2026-07-13,002812,buy,3.8001,52.63,200.0,0.4
2026-07-13,002821,buy,1.2097,165.33,200.0,0.4
2026-07-13,002837,buy,2.986,66.98,200.0,0.4
2026-07-13,002850,buy,1.0811,185.0,200.0,0.4
2026-07-13,002851,buy,1.2603,158.69,200.0,0.4
2026-07-13,002859,buy,2.7556,72.58,200.0,0.4
2026-07-13,002916,buy,0.5081,393.59,200.0,0.4
2026-07-13,002920,buy,2.4163,82.77,200.0,0.4
2026-07-13,002938,buy,2.0768,96.3,200.0,0.4
2026-07-13,003031,buy,1.5221,131.4,200.0,0.4
2026-07-13,300001,buy,6.4412,31.05,200.0,0.4
2026-07-13,300014,buy,3.8655,51.74,200.0,0.4
2026-07-13,300015,buy,24.2424,8.25,200.0,0.4
2026-07-13,300017,buy,13.6147,14.69,200.0,0.4
2026-07-13,300033,buy,0.9243,216.39,200.0,0.4
2026-07-13,300037,buy,2.9669,67.41,200.0,0.4
2026-07-13,300054,buy,2.5025,79.92,200.0,0.4
2026-07-13,300058,buy,15.6495,12.78,200.0,0.4
2026-07-13,300059,buy,10.0806,19.84,200.0,0.4
2026-07-13,300115,buy,6.7476,29.64,200.0,0.4
2026-07-13,300124,buy,3.2814,60.95,200.0,0.4
2026-07-13,300136,buy,2.3172,86.31,200.0,0.4
2026-07-13,300207,buy,12.0337,16.62,200.0,0.4
2026-07-13,300223,buy,1.0517,190.17,200.0,0.4
2026-07-13,300236,buy,1.7644,113.35,200.0,0.4
2026-07-13,300260,buy,2.5151,79.52,200.0,0.4
2026-07-13,300274,buy,1.8519,108.0,200.0,0.4
2026-07-13,300285,buy,3.1245,64.01,200.0,0.4
2026-07-13,300308,buy,0.1805,1108.0,200.0,0.4
2026-07-13,300316,buy,4.6577,42.94,200.0,0.4
2026-07-13,300339,buy,5.3691,37.25,200.0,0.4
2026-07-13,300346,buy,2.851,70.15,200.0,0.4
2026-07-13,300373,buy,1.7651,113.31,200.0,0.4
2026-07-13,300390,buy,3.1221,64.06,200.0,0.4
2026-07-13,300394,buy,0.7713,259.31,200.0,0.4
2026-07-13,300395,buy,2.0321,98.42,200.0,0.4
2026-07-13,300398,buy,4.6051,43.43,200.0,0.4
2026-07-13,300408,buy,1.7889,111.8,200.0,0.4
2026-07-13,300418,buy,4.1494,48.2,200.0,0.4
2026-07-13,300432,buy,12.7065,15.74,200.0,0.4
2026-07-13,300433,buy,5.0594,39.53,200.0,0.4
2026-07-13,300438,buy,2.9542,67.7,200.0,0.4
2026-07-13,300442,buy,2.5806,77.5,200.0,0.4
2026-07-13,300450,buy,5.8858,33.98,200.0,0.4
2026-07-13,300454,buy,1.8688,107.02,200.0,0.4
2026-07-13,300456,buy,5.4363,36.79,200.0,0.4
2026-07-13,300458,buy,5.0063,39.95,200.0,0.4
2026-07-13,300475,buy,0.9225,216.8,200.0,0.4
2026-07-13,300476,buy,0.7326,273.01,200.0,0.4
2026-07-13,300489,buy,0.8696,230.0,200.0,0.4
2026-07-13,300496,buy,3.5842,55.8,200.0,0.4
2026-07-13,300502,buy,0.3902,512.5,200.0,0.4
2026-07-13,300503,buy,2.4187,82.69,200.0,0.4
2026-07-13,300548,buy,0.9662,207.0,200.0,0.4
2026-07-13,300558,buy,3.1008,64.5,200.0,0.4
2026-07-13,300567,buy,0.6732,297.1,200.0,0.4
2026-07-13,300568,buy,12.837,15.58,200.0,0.4
2026-07-13,300570,buy,1.0488,190.7,200.0,0.4
2026-07-13,300602,buy,4.9542,40.37,200.0,0.4
2026-07-13,300604,buy,0.6149,325.24,200.0,0.4
2026-07-13,300620,buy,0.7387,270.76,200.0,0.4
2026-07-13,300623,buy,5.5741,35.88,200.0,0.4
2026-07-13,300661,buy,1.7203,116.26,200.0,0.4
2026-07-13,300666,buy,0.6283,318.34,200.0,0.4
2026-07-13,300672,buy,0.9664,206.95,200.0,0.4
2026-07-13,300726,buy,3.3389,59.9,200.0,0.4
2026-07-13,300748,buy,7.533,26.55,200.0,0.4
2026-07-13,300750,buy,0.557,359.06,200.0,0.4
2026-07-13,300751,buy,0.8112,246.56,200.0,0.4
2026-07-13,300757,buy,0.4149,482.0,200.0,0.4
2026-07-13,300759,buy,5.8685,34.08,200.0,0.4
2026-07-13,300760,buy,1.4318,139.68,200.0,0.4
2026-07-13,300762,buy,5.0063,39.95,200.0,0.4
2026-07-13,300776,buy,1.3753,145.42,200.0,0.4
2026-07-13,300782,buy,2.274,87.95,200.0,0.4
2026-07-13,300803,buy,2.5543,78.3,200.0,0.4
2026-07-13,300806,buy,2.5813,77.48,200.0,0.4
2026-07-13,300811,buy,2.5471,78.52,200.0,0.4
2026-07-13,300814,buy,1.3265,150.77,200.0,0.4
2026-07-13,300821,buy,9.1241,21.92,200.0,0.4
2026-07-13,300857,buy,0.7609,262.83,200.0,0.4
2026-07-13,300870,buy,0.796,251.27,200.0,0.4
2026-07-13,300903,buy,2.511,79.65,200.0,0.4
2026-07-13,300919,buy,5.3476,37.4,200.0,0.4
2026-07-13,300953,buy,1.7544,114.0,200.0,0.4
2026-07-13,301018,buy,1.8083,110.6,200.0,0.4
2026-07-13,301165,buy,1.9069,104.88,200.0,0.4
2026-07-13,301200,buy,0.66,303.01,200.0,0.4
2026-07-13,301205,buy,0.8364,239.12,200.0,0.4
2026-07-13,301217,buy,1.6701,119.75,200.0,0.4
2026-07-13,301236,buy,4.8579,41.17,200.0,0.4
2026-07-13,301269,buy,1.669,119.83,200.0,0.4
2026-07-13,301297,buy,4.6587,42.93,200.0,0.4
2026-07-13,301308,buy,0.3831,522.04,200.0,0.4
2026-07-13,301358,buy,3.2499,61.54,200.0,0.4
2026-07-13,301377,buy,0.4569,437.7,200.0,0.4
2026-07-13,301392,buy,0.7888,253.54,200.0,0.4
2026-07-13,301396,buy,0.8511,234.99,200.0,0.4
2026-07-13,301511,buy,1.935,103.36,200.0,0.4
2026-07-13,301526,buy,5.8893,33.96,200.0,0.4
2026-07-13,301536,buy,1.7994,111.15,200.0,0.4
2026-07-13,301550,buy,2.4239,82.51,200.0,0.4
2026-07-13,301583,buy,0.9017,221.8,200.0,0.4
2026-07-13,301611,buy,1.4178,141.06,200.0,0.4
2026-07-13,301666,buy,0.3747,533.73,200.0,0.4
2026-07-13,301696,buy,1.6807,119.0,200.0,0.4
2026-07-13,600010,buy,96.6184,2.07,200.0,0.4
2026-07-13,600011,buy,29.5858,6.76,200.0,0.4
2026-07-13,600021,buy,14.8588,13.46,200.0,0.4
2026-07-13,600026,buy,13.0208,15.36,200.0,0.4
2026-07-13,600028,buy,40.9836,4.88,200.0,0.4
2026-07-13,600030,buy,7.1124,28.12,200.0,0.4
2026-07-13,600031,buy,10.6895,18.71,200.0,0.4
2026-07-13,600036,buy,5.3691,37.25,200.0,0.4
2026-07-13,600050,buy,47.619,4.2,200.0,0.4
2026-07-13,600089,buy,10.4493,19.14,200.0,0.4
2026-07-13,600096,buy,7.5586,26.46,200.0,0.4
2026-07-13,600105,buy,4.4504,44.94,200.0,0.4
2026-07-13,600111,buy,5.1308,38.98,200.0,0.4
2026-07-13,600115,buy,56.1798,3.56,200.0,0.4
2026-07-13,600118,buy,2.1915,91.26,200.0,0.4
2026-07-13,600141,buy,6.3796,31.35,200.0,0.4
2026-07-13,600143,buy,13.587,14.72,200.0,0.4
2026-07-13,600150,buy,5.8462,34.21,200.0,0.4
2026-07-13,600157,buy,130.719,1.53,200.0,0.4
2026-07-13,600160,buy,4.7664,41.96,200.0,0.4
2026-07-13,600176,buy,3.9896,50.13,200.0,0.4
2026-07-13,600183,buy,1.4875,134.45,200.0,0.4
2026-07-13,600188,buy,11.1297,17.97,200.0,0.4
2026-07-13,600206,buy,3.7037,54.0,200.0,0.4
2026-07-13,600219,buy,50.8906,3.93,200.0,0.4
2026-07-13,600246,buy,10.0452,19.91,200.0,0.4
2026-07-13,600256,buy,38.5356,5.19,200.0,0.4
2026-07-13,600259,buy,2.5397,78.75,200.0,0.4
2026-07-13,600276,buy,3.5874,55.75,200.0,0.4
2026-07-13,600301,buy,4.3678,45.79,200.0,0.4
2026-07-13,600309,buy,2.9873,66.95,200.0,0.4
2026-07-13,600330,buy,9.298,21.51,200.0,0.4
2026-07-13,600346,buy,13.3333,15.0,200.0,0.4
2026-07-13,600353,buy,5.237,38.19,200.0,0.4
2026-07-13,600362,buy,5.0,40.0,200.0,0.4
2026-07-13,600378,buy,3.6637,54.59,200.0,0.4
2026-07-13,600392,buy,8.5985,23.26,200.0,0.4
2026-07-13,600406,buy,9.2166,21.7,200.0,0.4
2026-07-13,600415,buy,20.0401,9.98,200.0,0.4
2026-07-13,600418,buy,8.8378,22.63,200.0,0.4
2026-07-13,600426,buy,10.9409,18.28,200.0,0.4
2026-07-13,600438,buy,18.7266,10.68,200.0,0.4
2026-07-13,600460,buy,4.7699,41.93,200.0,0.4
2026-07-13,600482,buy,6.398,31.26,200.0,0.4
2026-07-13,600487,buy,2.8567,70.01,200.0,0.4
2026-07-13,600489,buy,10.1678,19.67,200.0,0.4
2026-07-13,600497,buy,22.4719,8.9,200.0,0.4
2026-07-13,600498,buy,3.9078,51.18,200.0,0.4
2026-07-13,600519,buy,0.1652,1210.99,200.0,0.4
2026-07-13,600522,buy,4.8403,41.32,200.0,0.4
2026-07-13,600547,buy,8.3472,23.96,200.0,0.4
2026-07-13,600549,buy,3.3818,59.14,200.0,0.4
2026-07-13,600563,buy,1.487,134.5,200.0,0.4
2026-07-13,600578,buy,35.5872,5.62,200.0,0.4
2026-07-13,600580,buy,6.402,31.24,200.0,0.4
2026-07-13,600584,buy,2.0192,99.05,200.0,0.4
2026-07-13,600601,buy,16.4204,12.18,200.0,0.4
2026-07-13,600641,buy,5.0787,39.38,200.0,0.4
2026-07-13,600667,buy,8.7989,22.73,200.0,0.4
2026-07-13,600673,buy,5.2288,38.25,200.0,0.4
2026-07-13,600690,buy,9.8765,20.25,200.0,0.4
2026-07-13,600699,buy,9.9701,20.06,200.0,0.4
2026-07-13,600703,buy,12.7146,15.73,200.0,0.4
2026-07-13,600707,buy,18.5874,10.76,200.0,0.4
2026-07-13,600711,buy,20.0602,9.97,200.0,0.4
2026-07-13,600726,buy,34.7222,5.76,200.0,0.4
