date,strategy,rank,ticker,name,factor_value,status,error
2026-07-16,ths_heat,1,603538,美诺华,1091261.5,ok,
2026-07-16,ths_heat,2,603986,兆易创新,892954.5,ok,
2026-07-16,ths_heat,3,001309,德明利,878677.0,ok,
2026-07-16,ths_heat,4,600584,长电科技,847965.0,ok,
2026-07-16,ths_heat,5,000938,紫光股份,835293.0,ok,
2026-07-16,ths_heat,6,002185,华天科技,811743.0,ok,
2026-07-16,ths_heat,7,600664,哈药股份,802489.5,ok,
2026-07-16,ths_heat,8,002384,东山精密,762312.0,ok,
2026-07-16,ths_heat,9,603127,昭衍新药,702238.5,ok,
2026-07-16,ths_heat,10,000725,京东方A,669475.0,ok,
2026-07-16,ths_heat,11,600487,亨通光电,568320.5,ok,
2026-07-16,ths_heat,12,688008,澜起科技,517956.5,ok,
2026-07-16,ths_heat,13,600436,片仔癀,485477.0,ok,
2026-07-16,ths_heat,14,002354,天娱数科,451568.0,ok,
2026-07-16,ths_heat,15,002747,埃斯顿,414768.5,ok,
2026-07-16,ths_heat,16,002466,天齐锂业,407991.5,ok,
2026-07-16,ths_heat,17,002156,通富微电,406308.5,ok,
2026-07-16,ths_heat,18,002396,星网锐捷,386437.0,ok,
2026-07-16,ths_heat,19,600162,香江控股,384335.0,ok,
2026-07-16,ths_heat,20,000566,海南海药,377720.5,ok,
2026-07-16,ths_heat_rise,1,002185,华天科技,500.0,ok,
2026-07-16,ths_heat_rise,2,601869,长飞光纤,380.0,ok,
2026-07-16,ths_heat_rise,3,600186,莲花控股,364.51612903225805,ok,
2026-07-16,ths_heat_rise,4,002156,通富微电,240.0,ok,
2026-07-16,ths_heat_rise,5,000725,京东方A,233.33333333333334,ok,
2026-07-16,ths_heat_rise,6,600879,航天电子,229.16666666666666,ok,
2026-07-16,ths_heat_rise,7,688333,铂力特,228.73239436619718,ok,
2026-07-16,ths_heat_rise,8,601995,中金公司,220.33898305084745,ok,
2026-07-16,ths_heat_rise,9,600992,贵绳股份,215.07936507936506,ok,
2026-07-16,ths_heat_rise,10,002342,巨力索具,210.3896103896104,ok,
2026-07-16,ths_heat_rise,11,300821,东岳硅材,194.28571428571428,ok,
2026-07-16,ths_heat_rise,12,600183,生益科技,187.5,ok,
2026-07-16,ths_heat_rise,13,002038,双鹭药业,186.48648648648648,ok,
2026-07-16,ths_heat_rise,14,603313,梦百合,185.41666666666669,ok,
2026-07-16,ths_heat_rise,15,600155,华创云信,177.06422018348624,ok,
2026-07-16,ths_heat_rise,16,002250,联化科技,171.2,ok,
2026-07-16,ths_heat_rise,17,601888,中国中免,170.3125,ok,
2026-07-16,ths_heat_rise,18,300759,康龙化成,169.6969696969697,ok,
2026-07-16,ths_heat_rise,19,300444,双杰电气,168.84057971014494,ok,
2026-07-16,ths_heat_rise,20,603516,淳中科技,165.22988505747128,ok,
